EncuestaID,Fecha,ClienteID,SucursalID,Puntuacion,Comentario,AsesorID,Canal,TiempoRespuesta,Estado
ENC028,2024-02-12,CLI028,SUC003,7,"Bien overall. Marco fue atento y resolvió mi consulta sin problemas. El tema es que la atención es lenta porque solo tienen 1 asesor especializado en empresas y siempre está ocupado. Deberían capacitar a más personal.",ASE026,Presencial,55,Completada
ENC029,2024-02-13,CLI029,SUC004,2,"Malísima experiencia. Fui a reportar que me robaron mi celular y necesitaba bloquear la línea urgente. La señorita me hizo llenar 50 formularios y esperar 2 horas para algo que debería tomar 5 minutos. Mientras tanto me siguieron cobrando llamadas.",ASE027,Presencial,135,Completada
ENC030,2024-02-14,CLI030,SUC002,8,"Muy satisfecho! El servicio online funcionó perfecto, pude cambiar mi plan desde casa sin problemas. Cuando tuve una duda, el chat en vivo me respondió al toque. Paula fue muy amable y eficiente. Así debería ser siempre.",ASE028,Online,15,Completada
ENC031,2024-02-15,CLI031,SUC001,0,"EL PEOR SERVICIO DE MI VIDA!!! Me cancelaron mi línea porque según ellos no pagué una factura QUE YA HABÍA PAGADO. Tengo el voucher y todo pero me dicen que su sistema no lo registra. Llevo una semana sin servicio por culpa de ellos. INACEPTABLE!",ASE029,Call Center,190,Completada
ENC032,2024-02-16,CLI032,SUC003,5,"Normal, ni muy bien ni muy mal. El chico era amable pero le falta experiencia. Tuvo que consultar con su jefe varias veces para resolver mi consulta. Al final todo salió bien pero el proceso fue lento y algo confuso.",ASE030,Presencial,72,Completada
ENC033,2024-02-17,CLI033,SUC004,9,"Excellent service! 👏 Rodrigo knows his stuff y me ayudó con un tema súper complicado de roaming internacional. Me ahorró como 200 soles en tarifas que no sabía que existían. Professional, friendly y super quick. Definitely coming back!",ASE031,Presencial,25,Completada
ENC034,2024-02-18,CLI034,SUC002,1,"VERGONZOSO. Llegué 15 minutos antes de que cierren y me dijeron que ya no atienden más clientes. Había como 5 asesores sin hacer nada pero se negaron a ayudarme. Tuve que pedir permiso en el trabajo para ir y me trataron así. PÉSIMO.",ASE032,Presencial,5,Completada
ENC035,2024-02-19,CLI035,SUC001,6,"Decent enough. La atención fue correcta, sin sobresalir pero cumplió el objetivo. Sofía fue cordial y resolvió mi trámite. Lo único es que el aire acondicionado no funcionaba bien y hacía bastante calor en el local.",ASE033,Presencial,42,Completada
ENC036,2024-02-20,CLI036,SUC003,10,"AMAZING! 🔥 Best customer service ever! Carmen es una crack, me solucionó un problema que otros 3 asesores no pudieron. Súper patient, professional y went above and beyond para help me. Este tipo de servicio es lo que hace la diferencia.",ASE034,Call Center,20,Completada
ENC037,2024-02-21,CLI037,SUC004,3,"Mala experiencia en general. El asesor parecía estar de mal humor todo el tiempo. Me contestaba con mala cara y cuando le hacía preguntas actuaba como si le molestara. Al final resolvió mi tema pero la actitud fue pésima.",ASE035,Presencial,88,Completada
ENC038,2024-02-22,CLI038,SUC002,7,"Pretty good! El servicio fue fluido y sin mayores inconvenientes. Esteban me atendió bien y me explicó las nuevas ofertas disponibles. La sucursal estaba ordenada y la espera fue mínima. Solo falta mejorar la señal wifi gratuita.",ASE036,Presencial,35,Completada
ENC039,2024-02-23,CLI039,SUC001,2,"Terrible servicio técnico. Reporté una falla en mi internet hace 10 días y todavía no la arreglan. Cada vez que llamo me dan una excusa diferente y me prometen que el técnico va a ir 'mañana'. Ya perdí la paciencia completamente.",ASE037,Call Center,95,Completada
ENC040,2024-02-24,CLI040,SUC003,4,"Más o menos. El trámite se hizo pero con varios inconvenientes. El sistema se colgó 2 veces y tuve que explicar mi problema desde el inicio cada vez. La asesor era amable pero claramente le falta training técnico.",ASE038,Presencial,78,Completada
ENC041,2024-02-25,CLI041,SUC004,8,"Muy buena atención! Daniela fue súper helpful y me orientó sobre el mejor plan para mi familia. Además me ayudó a configurar el nuevo equipo y me enseñó a usar algunas funciones. Servicio integral, muy satisfied!",ASE039,Presencial,32,Completada
ENC042,2024-02-26,CLI042,SUC002,1,"NUNCA MÁS. Me cobraron servicios que nunca contraté y cuando fui a reclamar me trataron como mentiroso. El supervisor me dijo que si no me gustaba me fuera a otra empresa. Que falta de profesionalismo. Ya inicié el reclamo en Indecopi.",ASE040,Presencial,145,Completada
ENC043,2024-02-27,CLI043,SUC001,6,"Okay service. Nothing fancy pero cumple. El pata que me atendió hizo su trabajo sin mayor entusiasmo. Todo correcto pero falta esa chispa de buen servicio al cliente. La infraestructura de la tienda está bien maintained.",ASE041,Online,48,Completada
ENC044,2024-02-28,CLI044,SUC003,9,"TOP TIER! 💪 Valeria is simply the best! Me ayudó con un upgrade súper complejo y me explained todo step by step. Plus me hooked up with some exclusive promos que no estaban publicadas. Customer service de primera clase!",ASE042,Presencial,28,Completada
ENC045,2024-02-29,CLI045,SUC004,0,"DISASTER ABSOLUTO. Vine a activar una línea nueva y por error de ellos me cancelaron mi línea principal. Ahora tengo que esperar 72 horas para que la reactiven. Por su error yo pierdo dinero y tiempo. INCOMPETENTES TOTALES.",ASE043,Presencial,160,Completada
ENC046,2024-03-01,CLI046,SUC002,5,"Así nomás. El servicio fue básico, nothing special. La chica que me atendió era nueva y no sabía muchas cosas, tuvo que preguntar constantemente. Al final solucionó mi tema pero tardó más de lo necesario.",ASE044,Presencial,65,Completada
ENC047,2024-03-02,CLI047,SUC001,8,"Great experience! Gabriel fue muy profesional y me ayudó con todo lo que necesitaba. El proceso fue smooth y me kept informed en todo momento. La sucursal también está bien organizada y clean. Thumbs up!",ASE045,Call Center,25,Completada
ENC048,2024-03-03,CLI048,SUC003,3,"Mal servicio. Fui con mi esposa para agregar una línea a mi plan familiar y nos hicieron vueltas toda la mañana. Cada asesor nos decía algo diferente sobre los requisitos. Al final perdimos medio día para nada.",ASE046,Presencial,112,Completada
ENC049,2024-03-04,CLI049,SUC004,7,"Bien en general. El servicio fue correcto y professional. Mónica me helped con mi consulta y fue paciente conmigo. Lo único es que el local estaba muy crowded y la espera fue un poco larga, pero worth it.",ASE047,Presencial,52,Completada
ENC050,2024-03-05,CLI050,SUC002,2,"Pésima experiencia. El asesor me hizo sentir como si le estuviera pidiendo un favor personal. Mala actitud, respuestas cortantes y cero ganas de ayudar. Además me dio información incorrecta que me causó problemas después.",ASE048,Presencial,98,Completada
