EncuestaID,Fecha,ClienteID,SucursalID,Puntuacion,Comentario,AsesorID,Canal,TiempoRespuesta,Estado
ENC000069,2024-12-06 13:07:56,CLI729384,SJM001,7,"Bien en general, algunos detalles menores",ASE1678,Móvil,18,Cerrado
ENC000070,2024-10-18 16:44,CLI847392,PUC001,5,"Normal, sin quejas graves ni elogios",ASE1734,Tienda,32,Activo
ENC000071,2024-11-23 08:20:27,CLI573829,UCY001,8,"Muy buena experiencia, recomendable 👌",ASE1589,SMS,1,Pendiente
ENC000072,2024-12-11 15,CLI829475,IQU001,1,"Pésimo servicio, perdí tiempo y dinero 🤬",ASE1445,Call Center,58,Cerrado
ENC000073,2024-10-25 12:36:41,CLI463827,TCN001,6,"Aceptable pero puede mejorar la atención",ASE1567,Web,19,Activo
ENC000074,2024-11-17 14:13:28,CLI738294,LIM003,9,"Increíble servicio, los felicito mucho 🎯",ASE1823,WhatsApp,9,Pendiente
ENC000075,2024-12-02 10:49:15,CLI582947,LIM001,4,"Deficiente, muchas fallas en el sistema 😞",ASE1456,Email,67,Activo
ENC000076,2024-10-21 17:26:02,CLI394875,LIM002,7,"Bueno, aunque podría ser más eficiente",ASE1678,Móvil,23,Cerrado
ENC000077,2024-11-14 09:02:49,CLI729384,AQP001,3,"Malo, no resuelven problemas reales 👎",ASE1734,Tienda,46,Activo
ENC000078,2024-12-07 16:38:36,CLI847392,TRU001,8,"Excelente atención, muy profesionales ⚡",ASE1589,SMS,2,Pendiente
ENC000079,2024-10-27 11:15:23,CLI573829,CHI001,2,"Horrible, no funciona nada correctamente 🚫",ASE1445,Call Center,52,Cerrado
ENC000080,2024-11-19 13:51:10,CLI829475,PIU001,6,"Regular, cumple pero sin destacar nada",ASE1567,Web,16,Activo
ENC000081,2024-12-12 15:27:57,CLI463827,HUE001,9,"Fantástico, mejor que otras empresas 🌟",ASE1823,WhatsApp,12,Pendiente
ENC000082,2024-10-16 08:04:44,CLI738294,CUS001,5,"Promedio, ni muy bueno ni muy malo 😐",ASE1456,Email,49,Activo
ENC000083,2024-11-25 16,CLI582947,TAR001,7,"Bien, aunque esperaba mayor rapidez",ASE1678,Móvil,20,Cerrado
ENC000084,2024-12-05 12:17:18,CLI394875,CALL001,1,"Pésimo, no recomiendo nunca esta empresa ❌",ASE1734,Tienda,61,Activo
ENC000085,2024-10-29 14:53:05,CLI729384,MIR001,8,"Muy satisfecho con el servicio recibido 💪",ASE1589,SMS,3,Pendiente
ENC000086,2024-11-12 10:29:52,CLI847392,VES001,4,"Malo, demasiados errores y confusiones 😤",ASE1445,Call Center,37,Cerrado
ENC000087,2024-12-10 17:06:39,CLI573829,ATE001,6,"Ok, cumple lo mínimo sin más",ASE1567,Web,15,Activo
ENC000088,2024-10-22 13:43:26,CLI829475,SJM001,10,"¡Excelente! Superaron todas mis expectativas 🎉",ASE1823,WhatsApp,6,Pendiente
ENC000089,2024-11-26 11:20:13,CLI463827,PUC001,3,"Regular tirando a malo, puede mejorar 📱",ASE1456,Email,71,Activo
ENC000090,2024-12-03 09:56,CLI738294,UCY001,7,"Bueno en general, pequeños inconvenientes",ASE1678,Móvil,22,Cerrado
ENC000091,2024-10-24 15:33:47,CLI582947,IQU001,2,"Muy malo, no resuelven nada bien 👎",ASE1734,Tienda,54,Activo
ENC000092,2024-11-18 12:10:34,CLI394875,TCN001,8,"Excelente servicio, muy recomendable ✨",ASE1589,SMS,1,Pendiente
ENC000093,2024-12-13 16:47:21,CLI729384,LIM003,5,"Normal, sin quejas pero tampoco elogios",ASE1445,Call Center,29,Cerrado
ENC000094,2024-10-15 09:24:08,CLI847392,LIM001,6,"Aceptable, puede mejorar la comunicación",ASE1567,Web,18,Activo
ENC000095,2024-11-21 14:00:55,CLI573829,LIM002,9,"Increíble experiencia, seguiré siendo cliente 😍",ASE1823,WhatsApp,10,Pendiente
ENC000096,2024-12-08 11:37:42,CLI829475,AQP001,1,"Horrible servicio, cambiaré inmediatamente 💔",ASE1456,Email,76,Activo
ENC000097,2024-10-28 16:14:29,CLI463827,TRU001,7,"Bien, aunque podría ser más eficiente",ASE1678,Móvil,24,Cerrado
ENC000098,2024-11-15 08,CLI738294,CHI001,4,"Deficiente, muchas fallas y errores 😞",ASE1734,Tienda,43,Activo
ENC000099,2024-12-04 15,CLI582947,PIU001,8,"Muy buena atención, profesionales siempre 👍",ASE1589,SMS,2,Pendiente
ENC000100,2024-10-20 12:27,CLI394875,HUE001,3,"Malo, demasiado tiempo de espera 🐌",ASE1445,Call Center,48,Cerrado
